/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x7f50e2a48000 | RAM  | PFN: 0x010fc07 | Физический: 0x00010fc07000 | [DIRTY]
0x7f50e2a49000 | RAM  | PFN: 0x010fc0d | Физический: 0x00010fc0d000 | [DIRTY]
0x7f50e2a4a000 | RAM  | PFN: 0x010eb19 | Физический: 0x00010eb19000 | [DIRTY]
0x7f50e2a4b000 | RAM  | PFN: 0x010fc98 | Физический: 0x00010fc98000 | [DIRTY]
0x7f50e2a4c000 | RAM  | PFN: 0x010ecfa | Физический: 0x00010ecfa000 | [DIRTY]
0x7f50e2a4d000 | RAM  | PFN: 0x0111a75 | Физический: 0x000111a75000 | [DIRTY]
0x7f50e2a4e000 | RAM  | PFN: 0x0111a6d | Физический: 0x000111a6d000 | [DIRTY]
0x7f50e2a4f000 | RAM  | PFN: 0x01130a0 | Физический: 0x0001130a0000 | [DIRTY]
0x7f50e2a50000 | RAM  | PFN: 0x010eb82 | Физический: 0x00010eb82000 | [DIRTY]
0x7f50e2a51000 | RAM  | PFN: 0x0111aba | Физический: 0x000111aba000 | [DIRTY]
0x7f50e2a52000 | RAM  | PFN: 0x0111adc | Физический: 0x000111adc000 | [DIRTY]
0x7f50e2a53000 | RAM  | PFN: 0x0111ad7 | Физический: 0x000111ad7000 | [DIRTY]
0x7f50e2a54000 | RAM  | PFN: 0x0111ad8 | Физический: 0x000111ad8000 | [DIRTY]
0x7f50e2a55000 | RAM  | PFN: 0x0111ad3 | Физический: 0x000111ad3000 | [DIRTY]
0x7f50e2a56000 | RAM  | PFN: 0x0111adb | Физический: 0x000111adb000 | [DIRTY]
0x7f50e2a57000 | RAM  | PFN: 0x01130a1 | Физический: 0x0001130a1000 | [DIRTY]
0x7f50e2a58000 | RAM  | PFN: 0x01124b7 | Физический: 0x0001124b7000 | [DIRTY]
0x7f50e2a59000 | RAM  | PFN: 0x0111ad9 | Физический: 0x000111ad9000 | [DIRTY]
0x7f50e2a5a000 | RAM  | PFN: 0x01124a7 | Физический: 0x0001124a7000 | [DIRTY]
0x7f50e2a5b000 | RAM  | PFN: 0x01130a2 | Физический: 0x0001130a2000 | [DIRTY]
0x7f50e2a5c000 | RAM  | PFN: 0x010eb81 | Физический: 0x00010eb81000 | [DIRTY]
0x7f50e2a5d000 | RAM  | PFN: 0x01124a4 | Физический: 0x0001124a4000 | [DIRTY]
0x7f50e2a5e000 | RAM  | PFN: 0x01130a3 | Физический: 0x0001130a3000 | [DIRTY]
0x7f50e2a5f000 | RAM  | PFN: 0x01124aa | Физический: 0x0001124aa000 | [DIRTY]
0x7f50e2a60000 | RAM  | PFN: 0x01124a9 | Физический: 0x0001124a9000 | [DIRTY]
0x7f50e2a61000 | RAM  | PFN: 0x0111a6e | Физический: 0x000111a6e000 | [DIRTY]
0x7f50e2a62000 | RAM  | PFN: 0x0111a6f | Физический: 0x000111a6f000 | [DIRTY]
0x7f50e2a63000 | RAM  | PFN: 0x010fc8f | Физический: 0x00010fc8f000 | [DIRTY]
0x7f50e2a64000 | RAM  | PFN: 0x0111a74 | Физический: 0x000111a74000 | [DIRTY]
0x7f50e2a65000 | RAM  | PFN: 0x0111ada | Физический: 0x000111ada000 | [DIRTY]
0x7f50e2a66000 | RAM  | PFN: 0x01124b5 | Физический: 0x0001124b5000 | [DIRTY]
0x7f50e2a67000 | RAM  | PFN: 0x01124a6 | Физический: 0x0001124a6000 | [DIRTY]
0x7f50e2a68000 | RAM  | PFN: 0x01124a5 | Физический: 0x0001124a5000 | [DIRTY]
0x7f50e2a69000 | RAM  | PFN: 0x01130ec | Физический: 0x0001130ec000 | [DIRTY]
0x7f50e2a6a000 | RAM  | PFN: 0x0112717 | Физический: 0x000112717000 | [DIRTY]
0x7f50e2a6b000 | RAM  | PFN: 0x0112716 | Физический: 0x000112716000 | [DIRTY]
0x7f50e2a6c000 | RAM  | PFN: 0x0111ad6 | Физический: 0x000111ad6000 | [DIRTY]
0x7f50e2a6d000 | RAM  | PFN: 0x0111ade | Физический: 0x000111ade000 | [DIRTY]
0x7f50e2a6e000 | RAM  | PFN: 0x0111adf | Физический: 0x000111adf000 | [DIRTY]
0x7f50e2a6f000 | RAM  | PFN: 0x0110d8f | Физический: 0x000110d8f000 | [DIRTY]
0x7f50e2a70000 | RAM  | PFN: 0x0111aac | Физический: 0x000111aac000 | [DIRTY]
0x7f50e2a71000 | RAM  | PFN: 0x0110d97 | Физический: 0x000110d97000 | [DIRTY]
0x7f50e2a72000 | RAM  | PFN: 0x0110d9d | Физический: 0x000110d9d000 | [DIRTY]
0x7f50e2a73000 | RAM  | PFN: 0x0110d9e | Физический: 0x000110d9e000 | [DIRTY]
0x7f50e2a74000 | RAM  | PFN: 0x0110d9f | Физический: 0x000110d9f000 | [DIRTY]
0x7f50e2a75000 | RAM  | PFN: 0x0110da0 | Физический: 0x000110da0000 | [DIRTY]
0x7f50e2a76000 | RAM  | PFN: 0x0110da1 | Физический: 0x000110da1000 | [DIRTY]
